id;type;cat_title;URL;keyword;keywords_cons;keywords_pro
15;food;Сахар-песок;https://www.utkonos.ru/cat/44;сахар[\s*\-]*(песок){0,1};тростник|кусков|рафинад|с?прессов|сахарозаменит;
15;food;Сахар-песок;1601.0;сахар[\s*\-]*(песок){0,1};тростник|кусков|рафинад|с?прессов|сахарозаменит;
16;food;Мука пшеничная;https://online.globus.ru/search/?q=%D0%BC%D1%83%D0%BA%D0%B0+%D0%BF%D1%88%D0%B5%D0%BD%D0%B8%D1%87%D0%BD%D0%B0%D1%8F&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64;мука;"смесь\s*(?:д/|для\s*)вып(?:е)?;хлебная\s*смесь;смесь\s*хлебная;смесь\s*мучная;фокаччо|десерт|пудинг;пицц|кекс|маффин|оладь|хлеб";пшенич
16;food;Мука пшеничная;https://www.perekrestok.ru/catalog/search?text=%D0%BC%D1%83%D0%BA%D0%B0;мука;"смесь\s*(?:д/|для\s*)вып(?:е)?;хлебная\s*смесь;смесь\s*хлебная;смесь\s*мучная;фокаччо|десерт|пудинг;пицц|кекс|маффин|оладь|хлеб";пшенич
16;food;Мука пшеничная;https://www.okeydostavka.ru/msk/bakaleia-i-konservatsiia-15063-20/muka-smesi-dlia-vypechki-15066-20;мука;"смесь\s*(?:д/|для\s*)вып(?:е)?;хлебная\s*смесь;смесь\s*хлебная;смесь\s*мучная;фокаччо|десерт|пудинг;пицц|кекс|маффин|оладь|хлеб";пшенич
16;food;Мука пшеничная;https://www.utkonos.ru/cat/45-66-439;мука;"смесь\s*(?:д/|для\s*)вып(?:е)?;хлебная\s*смесь;смесь\s*хлебная;смесь\s*мучная;фокаччо|десерт|пудинг;пицц|кекс|маффин|оладь|хлеб";пшенич
17;food;Хлеб из ржаной муки и из смеси муки ржаной и пшеничной;https://online.globus.ru/search/?section_id=785&q=%D1%85%D0%BB%D0%B5%D0%B1&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&searchFilter_995_4196395929=Y&searchFilter_995_1662433827=Y&set_filter=Y&count=64;хлеб;;"дарницк|бородинск|ржан;хлеб|батон|булка"
17;food;Хлеб из ржаной муки и из смеси муки ржаной и пшеничной;https://www.perekrestok.ru/catalog/search?attr%5Bcategory%5D%5B%5D=1447&text=%D1%85%D0%BB%D0%B5%D0%B1;хлеб;;"дарницк|бородинск|ржан;хлеб|батон|булка"
17;food;Хлеб из ржаной муки и из смеси муки ржаной и пшеничной;https://www.okeydostavka.ru/msk/konditerskie-izdeliia-khleb-16052-20/khlebobulochnye-izdeliia-16592-20/khleb-baton-lepeshki-lavash-16596-20;хлеб;;"дарницк|бородинск|ржан;хлеб|батон|булка"
17;food;Хлеб из ржаной муки и из смеси муки ржаной и пшеничной;https://www.utkonos.ru/cat/5505;хлеб;;"дарницк|бородинск|ржан;хлеб|батон|булка"
18;food;Хлеб и булочные изделия из пшеничной муки 1 и 2 сортов;https://online.globus.ru/search/?section_id=785&q=%D1%85%D0%BB%D0%B5%D0%B1&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64&searchFilter_995_2367216399=Y&set_filter=Y;батон;;столичн|городск|молочный|нарезной
18;food;Хлеб и булочные изделия из пшеничной муки 1 и 2 сортов;https://www.perekrestok.ru/catalog/search?attr%5Bcategory%5D%5B%5D=1447&text=%D1%85%D0%BB%D0%B5%D0%B1;батон;;столичн|городск|молочный|нарезной
18;food;Хлеб и булочные изделия из пшеничной муки 1 и 2 сортов;https://www.okeydostavka.ru/msk/konditerskie-izdeliia-khleb-16052-20/khlebobulochnye-izdeliia-16592-20/khleb-baton-lepeshki-lavash-16596-20;батон;;столичн|городск|молочный|нарезной
18;food;Хлеб и булочные изделия из пшеничной муки 1 и 2 сортов;https://www.utkonos.ru/cat/5505;батон;;столичн|городск|молочный|нарезной
18;food;Хлеб и булочные изделия из пшеничной муки 1 и 2 сортов;2203.0;батон;;столичн|городск|молочный|нарезной
19;food;Рис шлифованный;https://online.globus.ru/search/?section_id=722&q=%D1%80%D0%B8%D1%81&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&searchFilter_939_1844118082=Y&set_filter=Y&count=64;рис;;шлиф
19;food;Рис шлифованный;https://www.perekrestok.ru/catalog/makarony-krupy-spetsii/krupy-i-bobovye?attr%5B1870%5D%5B%5D=ris&attr%5B2201%5D%5B%5D=shlifovannyy;рис;;шлиф
19;food;Рис шлифованный;https://www.okeydostavka.ru/msk/bakaleia-i-konservatsiia-15063-20/krupy-15064-20#facet:-7000000000000025651105610801089;рис;;шлиф
19;food;Рис шлифованный;https://www.utkonos.ru/cat/41-2207-409;рис;;шлиф
19;food;Рис шлифованный;2301.0;рис;;шлиф
